level,block_title,group_number,group_title,program_number,program_title
Магистратура,Математические и естественные науки,01.00.00,Математика и механика,01.04.01,Математика
Магистратура,Математические и естественные науки,01.00.00,Математика и механика,01.04.02,Прикладная математика и информатика
Магистратура,Математические и естественные науки,01.00.00,Математика и механика,01.04.03,Механика и математическое моделирование
Магистратура,Математические и естественные науки,01.00.00,Математика и механика,01.04.04,Прикладная математика
Магистратура,Математические и естественные науки,01.00.00,Математика и механика,01.04.05,Статистика
Магистратура,Математические и естественные науки,02.00.00,Компьютерные и информационные науки,02.04.01,Математика и компьютерные науки
Магистратура,Математические и естественные науки,02.00.00,Компьютерные и информационные науки,02.04.02,Фундаментальная информатика и информационные технологии
Магистратура,Математические и естественные науки,02.00.00,Компьютерные и информационные науки,02.04.03,Математическое обеспечение и администрирование информационных систем
Магистратура,Математические и естественные науки,03.00.00,Физика и астрономия,03.04.01,Прикладные математика и физика
Магистратура,Математические и естественные науки,03.00.00,Физика и астрономия,03.04.02,Физика
Магистратура,Математические и естественные науки,03.00.00,Физика и астрономия,03.04.03,Радиофизика
Магистратура,Математические и естественные науки,04.00.00,Химия,04.04.01,Химия
Магистратура,Математические и естественные науки,04.00.00,Химия,04.04.02,"Химия, физика и механика материалов"
Магистратура,Математические и естественные науки,05.00.00,Науки о земле,05.04.01,Геология
Магистратура,Математические и естественные науки,05.00.00,Науки о земле,05.04.02,География
Магистратура,Математические и естественные науки,05.00.00,Науки о земле,05.04.03,Картография и геоинформатика
Магистратура,Математические и естественные науки,05.00.00,Науки о земле,05.04.04,Гидрометеорология
Магистратура,Математические и естественные науки,05.00.00,Науки о земле,05.04.05,Прикладная гидрометеорология
Магистратура,Математические и естественные науки,05.00.00,Науки о земле,05.04.06,Экология и природопользование
Магистратура,Математические и естественные науки,06.00.00,Биологические науки,06.04.01,Биология
Магистратура,Математические и естественные науки,06.00.00,Биологические науки,06.04.02,Почвоведение
Магистратура,"Инженерное дело, технологии и технические науки",07.00.00,Архитектура,07.04.01,Архитектура
Магистратура,"Инженерное дело, технологии и технические науки",07.00.00,Архитектура,07.04.02,Реконструкция и реставрация архитектурного наследия
Магистратура,"Инженерное дело, технологии и технические науки",07.00.00,Архитектура,07.04.03,Дизайн архитектурной среды
Магистратура,"Инженерное дело, технологии и технические науки",07.00.00,Архитектура,07.04.04,Градостроительство
Магистратура,"Инженерное дело, технологии и технические науки",08.00.00,Техника и технологии строительства,08.04.01,Строительство
Магистратура,"Инженерное дело, технологии и технические науки",09.00.00,Информатика и вычислительная техника,09.04.01,Информатика и вычислительная техника
Магистратура,"Инженерное дело, технологии и технические науки",09.00.00,Информатика и вычислительная техника,09.04.02,Информационные системы и технологии
Магистратура,"Инженерное дело, технологии и технические науки",09.00.00,Информатика и вычислительная техника,09.04.03,Прикладная информатика
Магистратура,"Инженерное дело, технологии и технические науки",09.00.00,Информатика и вычислительная техника,09.04.04,Программная инженерия
Магистратура,"Инженерное дело, технологии и технические науки",10.00.00,Информационная безопасность,10.04.01,Информационная безопасность
Магистратура,"Инженерное дело, технологии и технические науки",11.00.00,"Электроника, радиотехника и системы связи",11.04.01,Радиотехника
Магистратура,"Инженерное дело, технологии и технические науки",11.00.00,"Электроника, радиотехника и системы связи",11.04.02,Инфокоммуникационные технологии и системы связи
Магистратура,"Инженерное дело, технологии и технические науки",11.00.00,"Электроника, радиотехника и системы связи",11.04.03,Конструирование и технология электронных средств
Магистратура,"Инженерное дело, технологии и технические науки",11.00.00,"Электроника, радиотехника и системы связи",11.04.04,Электроника и наноэлектроника
Магистратура,"Инженерное дело, технологии и технические науки",12.00.00,"Фотоника, приборостроение, оптические и биотехнические системы и технологии",12.04.01,Приборостроение
Магистратура,"Инженерное дело, технологии и технические науки",12.00.00,"Фотоника, приборостроение, оптические и биотехнические системы и технологии",12.04.02,Оптотехника
Магистратура,"Инженерное дело, технологии и технические науки",12.00.00,"Фотоника, приборостроение, оптические и биотехнические системы и технологии",12.04.03,Фотоника и оптоинформатика
Магистратура,"Инженерное дело, технологии и технические науки",12.00.00,"Фотоника, приборостроение, оптические и биотехнические системы и технологии",12.04.04,Биотехнические системы и технологии
Магистратура,"Инженерное дело, технологии и технические науки",12.00.00,"Фотоника, приборостроение, оптические и биотехнические системы и технологии",12.04.05,Лазерная техника и лазерные технологии
Магистратура,"Инженерное дело, технологии и технические науки",13.00.00,Электро- и теплоэнергетика,13.04.01,Теплоэнергетика и теплотехника
Магистратура,"Инженерное дело, технологии и технические науки",13.00.00,Электро- и теплоэнергетика,13.04.02,Электроэнергетика и электротехника
Магистратура,"Инженерное дело, технологии и технические науки",13.00.00,Электро- и теплоэнергетика,13.04.03,Энергетическое машиностроение
Магистратура,"Инженерное дело, технологии и технические науки",14.00.00,Ядерная энергетика и технологии,14.04.01,Ядерная энергетика и теплофизика
Магистратура,"Инженерное дело, технологии и технические науки",14.00.00,Ядерная энергетика и технологии,14.04.02,Ядерные физика и технологии
Магистратура,"Инженерное дело, технологии и технические науки",15.00.00,Машиностроение,15.04.01,Машиностроение
Магистратура,"Инженерное дело, технологии и технические науки",15.00.00,Машиностроение,15.04.02,Технологические машины и оборудование
Магистратура,"Инженерное дело, технологии и технические науки",15.00.00,Машиностроение,15.04.03,Прикладная механика
Магистратура,"Инженерное дело, технологии и технические науки",15.00.00,Машиностроение,15.04.04,Автоматизация технологических процессов и производств
Магистратура,"Инженерное дело, технологии и технические науки",15.00.00,Машиностроение,15.04.05,Конструкторско-технологическое обеспечение машиностроительных производств
Магистратура,"Инженерное дело, технологии и технические науки",15.00.00,Машиностроение,15.04.06,Мехатроника и робототехника
Магистратура,"Инженерное дело, технологии и технические науки",16.00.00,Физико-технические науки и технологии,16.04.01,Техническая физика
Магистратура,"Инженерное дело, технологии и технические науки",16.00.00,Физико-технические науки и технологии,16.04.02,Высокотехнологические плазменные и энергетические установки
Магистратура,"Инженерное дело, технологии и технические науки",16.00.00,Физико-технические науки и технологии,16.04.03,"Холодильная, криогенная техника и системы жизнеобеспечения"
Магистратура,"Инженерное дело, технологии и технические науки",17.00.00,Оружие и системы вооружения,17.04.01,Корабельное вооружение
Магистратура,"Инженерное дело, технологии и технические науки",18.00.00,Химические технологии,18.04.01,Химическая технология
Магистратура,"Инженерное дело, технологии и технические науки",18.00.00,Химические технологии,18.04.02,"Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии"
Магистратура,"Инженерное дело, технологии и технические науки",19.00.00,Промышленная экология и биотехнологии,19.04.01,Биотехнология
Магистратура,"Инженерное дело, технологии и технические науки",19.00.00,Промышленная экология и биотехнологии,19.04.02,Продукты питания из растительного сырья
Магистратура,"Инженерное дело, технологии и технические науки",19.00.00,Промышленная экология и биотехнологии,19.04.03,Продукты питания животного происхождения
Магистратура,"Инженерное дело, технологии и технические науки",19.00.00,Промышленная экология и биотехнологии,19.04.04,Технология продукции и организация общественного питания
Магистратура,"Инженерное дело, технологии и технические науки",19.00.00,Промышленная экология и биотехнологии,19.04.05,Высокотехнологичные производства пищевых продуктов функционального и специализированного назначения
Магистратура,"Инженерное дело, технологии и технические науки",20.00.00,Техносферная безопасность и природообустройство,20.04.01,Техносферная безопасность
