id,site,path,name,isCandidate,is_download,is_manually
80,https://www.spbstu.ru/,sveden/education/list-educational-programs/,Санкт-Петербургский политехнический университет Петра Великого,False,True,False
81,https://www.sgu.ru/,sveden/education,СГУ,False,True,False
82,https://www.sevsu.ru/,sveden/education/,СевГУ,False,False,True
83,https://www.s-vfu.ru/,,СВФУ,False,False,False
84,https://www.ncfu.ru/,sveden/education/,СКФУ,False,True,False
85,https://www.sechenov.ru/,sveden/education/,ФГАОУ ВО Первый МГМУ им. И.М. Сеченова Минздрава России ,False,True,False
86,https://www.sibsau.ru/,sveden/education/,СибГУ им. М.Ф. Решетнева,False,True,False
87,https://www.sfu-kras.ru/,sveden/education/eduaccred,СФУ,False,True,False
88,https://etu.ru/,sveden/education/eduAccred/,"СПбГЭТУ ""ЛЭТИ""",False,True,False
89,http://www.surgu.ru/,sveden/education,СурГУ,True,True,False
90,http://www.htvs.ru/,sveden/education/,Театральный институт имени Бориса Щукина,False,True,False
91,https://www.tsu.ru/,sveden/education,ТГУ (Тольятти),False,True,False
92,https://tsuab.ru/,sveden/education/eduaccred/,ТГАСУ,True,True,False
93,https://www.tsu.ru/,sveden/education,ТГУ (Томск),False,True,False
94,https://tusur.ru/,sveden/education/eduaccred,ТУСУР,False,False,True
95,https://tpu.ru/,sveden/education,ТПУ,False,True,False
96,https://tsput.ru/,sveden/education/,ТГПУ им. Л.Н. Толстого,True,False,True
97,https://tsu.tula.ru/,education/eduOp/,ТулГУ,True,True,False
98,https://www.utmn.ru/,sveden/education/eduaccred/,ТюмГУ,False,False,True
99,https://ulsu.ru/,ru/sveden/education/,УлГУ,False,True,False
100,https://www.msal.ru/,sveden/education/,МГЮА,False,False,True
101,https://itmo.ru/,sveden/education/,ИТМО,False,True,False
102,https://sutd.ru/,sveden/education/,СПбГУПТД,False,True,False
103,http://www.ursmu.ru/,,УГГУ,False,False,False
104,https://urfu.ru/,sveden/education/,УрФУ,False,False,True
105,https://rusoil.net/,sveden/education,УГНТУ,False,True,False
106,https://pstu.ru/,sveden/education/,ПНИПУ,False,True,False
107,https://rsmu.ru/,sveden/education/akkreditacija-programm-bakalavriata-i-specialiteta/,ФГАОУ ВО РНИМУ им. Н.И. Пирогова Минздрава России,False,True,False
108,https://rsmu.ru/,sveden/education/akkreditacija-programm-magistratury/,ФГАОУ ВО РНИМУ им. Н.И. Пирогова Минздрава России,False,True,False
109,https://rut-miit.ru/,sveden/education/accreditation,РУТ (МИИТ),False,True,False
110,https://www.kalmgu.ru/,/sveden/education/index.html,КалмГУ,True,True,False
111,https://kgeu.ru/,sveden/education/,КГЭУ,False,True,False
112,http://www.kstu.ru/,sveden/education/,"ФГБОУ ВО ""КНИТУ""",False,False,True
113,https://stankin.ru/,sveden/education/,"ФГБОУ ВО ""МГТУ ""СТАНКИН""",False,True,False
114,https://mgsu.ru/,sveden/education/,НИУ МГСУ,False,False,True
115,https://www.nntu.ru/,sveden/education/,НГТУ (Нижний Новгород),False,True,False
116,https://pimunn.ru/,sveden/education/,"ФГБОУ ВО ""ПИМУ"" Минздрава России",False,True,False
117,https://www.chesu.ru/,sveden/education/eduaccred/,"""Чеченский государственный университет имени А.А. Кадырова""",False,False,True
118,http://www.zabgu.ru/,sveden/education,ФГБОУ ВО «ЗабГУ»,True,True,False
119,http://www.istu.edu/,sveden/education/akred_bak,ИРНИТУ,False,True,False
120,http://www.istu.edu/,sveden/education/akred_spec,ИРНИТУ,False,True,False
121,http://www.istu.edu/,sveden/education/akred_mag,ИРНИТУ,False,True,False
122,https://marsu.ru/,sveden/education/eduAccred.php,"ФГБОУ ВО ""Марийский государственный университет""",False,True,False
123,https://www.rea.ru/,sveden/education/,РЭУ им. Г.В. Плеханова,False,True,False
124,https://www.tsutmb.ru/,sveden/education/,ТГУ имени Г.Р. Державина,False,True,False
125,https://pnu.edu.ru/,sveden/education/,ТОГУ,False,True,False
126,https://udsu.ru/,sveden/education/,УдГУ,False,True,False
127,https://kazangmu.ru/,sveden/education/,Казанский ГМУ Минздрава России,True,True,False
128,https://kubsau.ru/,sveden/education/04_01_eduAccred.php,Кубанский ГАУ,False,False,True
129,https://www.msmsu.ru/,sveden/education/,МГМСУ имени А.И.Евдокимова Минздрава России,False,True,False
130,https://mgppu.ru/,sveden/education,МГППУ,True,True,False
131,https://www.pgups.ru/,sveden/education/,ПГУПС,False,True,False
132,https://www.1spbgmu.ru/,sveden/education/,ПСПбГМУ им. И.П. Павлова Минздрава России,False,True,False
133,https://www.timacad.ru/,sveden/education/eduaccred/,РГАУ-МСХА имени К.А. Тимирязева,False,False,True
134,https://samsmu.ru/,sveden/education/,СамГМУ Минздрава России,False,True,False
135,https://www.sgau.ru/,sveden/education/eduaccred/,Саратовский ГАУ,False,True,False
136,http://www.nsmu.ru/,sveden/education/,СГМУ (г.Архангельск) Минздрава России,True,False,True
137,http://www.smolgmu.ru/,sveden/education/,ФГБОУ ВО СГМУ Минздрава России,False,True,False
138,https://www.ssmu.ru/,sveden/education/,ФГБОУ ВО СибГМУ Минздрава России,False,True,False
139,http://www.stgau.ru/,sveden/education/eduaccred,Ставропольский ГАУ,False,True,False
140,https://www.tyumsmu.ru/,sveden/education/,Тюменский ГМУ Минздрава России,False,True,False
141,https://usma.ru/,sveden/education/eduAccred/,ФГБОУ ВО УГМУ Минздрава России,True,True,False
142,https://swsu.ru/,sveden/education/eduAccred/,ЮЗГУ,False,False,True
143,https://www.susu.ru/,sites/default/files/ron/education.html,"ФГАОУ ВО ""ЮУрГУ (НИУ)""",False,True,False
144,https://sfedu.ru/,www/stat_pages22.show?p=GOV/N13190/P,Южный федеральный университет,False,False,True
145,https://www.npi-tu.ru/,sveden/education/eduAccred/,ЮРГПУ(НПИ),False,False,True
146,https://www.uniyar.ac.ru/,sveden/education/obr-prog.php,ЯрГУ,False,True,False
