Название университета,Регион,Субъект РФ,Город,Ведомство,Базовая часть,Спец. часть,Кандидат,Сайт,Ректор,Создание научно-образовательных центров  (ПП РФ №537),"Создание Научно-образовательных математических центров"" (Региональных математических центров)",Создание научных центров мирового уровня  (ПП РФ №538) по приоритетам научно-технологического развития РФ,Создание научных центров мирового уровня  (ПП РФ №538) - геномные исследования,Создание научных центров мирового уровня  (ПП РФ №538) - математические центры,"Программа повышения конкурентоспособности ведущих университетов среди среди ведущих мировых научно-образовательных центров (Проект ""5-100"")  (ПП РФ №211)","Программа ""Карбоновые полигоны""","Программа ""Стартап как диплом""",Развитие опорных университетов  (ПП РФ №811),"Присвоение категории ""Национальный исследовательский университет"" (ПП РФ №550)",Создание федеральных университетов (ПП РФ №716),Научно-исследовательская политика / Удельный вес финансового обеспечения университета от НИОКР в общих доходах университета за последний отчетный период,Научно-исследовательская политика / Общее число публикаций за период 2016-2020 (Scopus),Научно-исследовательская политика / Общее число цитирований за период 2016-2020 (Scopus),Научно-исследовательская политика / Число публикаций отнесенных к QI и QII (Scopus),Научно-исследовательская политика / Число публикаций типов «Article» и «Review» (Scopus),Образовательная политика / Численность обучающихся (очно) / Бюджет,Образовательная политика / Численность обучающихся (очно) / Контракт,Образовательная политика / Доля иностранных обучающихся (очно) / Иностранные граждане,Образовательная политика / Доля иностранных обучающихся (очно) / Граждане РФ,Образовательная политика / Средний балл ЕГЭ / Средний балл ЕГЭ – студенты (Бюджет),Образовательная политика / Средний балл ЕГЭ /  Средний балл ЕГЭ – студенты (Контракт),Образовательная политика / Численность обучающихся по уровням образования (очно) / Бакалавриат,Образовательная политика / Численность обучающихся по уровням образования (очно) / Специалитет,Образовательная политика / Численность обучающихся по уровням образования (очно) / Магистратура,Образовательная политика / Численность обучающихся по уровням образования (очно) / Кадры высшей квалификации,Образовательная политика /  Численность иностранных обучающихся по уровням образования на условиях общего приема (очно) / Бакалавриат,Образовательная политика /  Численность иностранных обучающихся по уровням образования на условиях общего приема (очно) / Специалитет,Образовательная политика /  Численность иностранных обучающихся по уровням образования на условиях общего приема (очно) / Кадры высшей квалификации ,Образовательная политика /  Численность иностранных обучающихся по уровням образования на условиях общего приема (очно) / Магистратура,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Сельскохозяйственные науки,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Искусство и культура,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Образование и педагогические науки,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Инженерные науки,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Здравоохранение и медицинские науки,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Гуманитарные науки,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Математические и естественные науки,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Науки об обществе,Образовательная политика / Сведения об ученых степенях профессорско-преподавательского состава / Доктора наук,Образовательная политика / Сведения об ученых степенях профессорско-преподавательского состава / Кандидаты наук,Образовательная политика / Сведения об ученых степенях профессорско-преподавательского состава / Без степени,Образовательная политика / Профессорско-преподавательский состав / Иностранные граждане,Образовательная политика / Профессорско-преподавательский состав / Граждане РФ,Качество системы управления / Бюджет университета / Федеральный бюджет,Качество системы управления / Бюджет университета / Бюджет субъекта РФ,Качество системы управления / Бюджет университета / Местный бюджет и внебюджетные средства,Качество системы управления / Финансовая модель организации («Модель 40/30/30») / Бюджетное финансирование,"Качество системы управления / Финансовая модель организации («Модель 40/30/30») / Внебюджетные доходы, связанные с выполнением НИР и ОКР, а также оказания услуг",Качество системы управления / Финансовая модель организации («Модель 40/30/30») / Внебюджетные доходы от образовательной деятельности (внебюджетные),Качество системы управления / Численность работников университета по категориям персонала / НР и инженерно-технический персонал,Качество системы управления / Численность работников университета по категориям персонала / ППС,"Качество системы управления / Численность работников университета по категориям персонала / Административно-хозяйственный, производственный и прочий персонал",Глобальная конкурентоспособность / Динамика университета в международных институциональных рейтингах / QS,Глобальная конкурентоспособность / Динамика университета в международных институциональных рейтингах / THE,Глобальная конкурентоспособность / Динамика университета в международных институциональных рейтингах / ARWU
Самарский университет,Приволжский,Самарская область,Самара,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.ssau.ru,Богатырев Владимир Дмитриевич,True,True,False,False,False,True,False,True,False,True,False,20.6,4703.0,18873.0,318.646,659.701,72.64,27.36,7.13,92.87,75.07,67.25,65.04,14.45,15.8,4.72,80.24,6.71,1.76,11.29,0.0,0.0,0.99,44.17,0.0,6.91,18.56,29.36,16.23,59.8,23.97,2.19,97.81,68.61,0.0,31.39,64.16,14.55,21.29,18.14,43.74,38.12,581,1201,
СПБГМТУ,Северо-Западный,Санкт-Петербург,Санкт-Петербург,Министерство науки и высшего образования Российской Федерации,True,Территориальное/отраслевое лидерство,False,http://www.smtu.ru,Туричин Глеб Андреевич,True,False,True,False,False,False,False,False,False,False,False,49.2,361.0,733.0,7.763,25.965,81.4,18.6,3.81,96.19,69.91,59.12,70.33,15.03,12.9,1.73,66.67,1.06,13.76,18.52,0.0,0.0,0.0,81.99,0.0,0.0,2.02,15.98,15.46,51.93,32.61,0.97,99.03,48.24,0.0,51.76,45.88,46.89,7.23,15.72,38.73,45.56,,,
ГУАП,Северо-Западный,Санкт-Петербург,Санкт-Петербург,Министерство науки и высшего образования Российской Федерации,True,,False,http://guap.ru,Антохина Юлия Анатольевна,False,False,False,False,False,False,False,False,False,False,False,5.3,1268.0,2403.0,18.312,126.728,64.81,35.19,5.88,94.12,77.52,72.3,68.88,17.57,12.66,0.89,78.52,0.0,0.38,21.1,0.0,0.45,0.0,68.48,0.0,3.83,2.46,24.78,17.45,57.66,24.89,0.64,99.36,67.48,0.0,32.52,69.39,4.59,26.01,17.93,39.0,43.07,,,
Санкт-Петербургский политехнический университет Петра Великого,Северо-Западный,Санкт-Петербург,Санкт-Петербург,Министерство науки и высшего образования Российской Федерации,True,Исследовательское лидерство,False,http://www.spbstu.ru,Рудской Андрей Иванович,True,False,True,False,False,True,False,True,False,True,False,21.7,11166.0,78060.0,520.209,1255.187,64.4,35.6,15.79,84.21,82.32,73.21,70.42,6.59,19.54,3.45,79.16,0.33,2.11,18.4,0.0,1.24,0.57,55.25,0.0,2.96,8.1,31.89,16.36,52.87,30.76,10.61,89.39,56.88,0.14,42.98,58.87,17.95,23.18,25.96,39.21,34.82,393,301,
СГУ,Приволжский,Саратовская область,Саратов,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.sgu.ru,Чумаченко Алексей Николаевич,False,True,False,False,False,False,False,False,False,True,False,20.4,3194.0,15687.0,292.442,742.449,70.36,29.64,10.34,89.66,69.29,61.36,76.02,6.66,13.97,3.35,88.58,1.24,1.81,8.37,0.0,0.72,28.73,16.07,0.0,9.14,22.19,23.17,23.24,62.24,14.52,0.1,99.9,63.34,0.0,36.66,60.76,18.87,20.37,5.24,39.49,55.26,531,1201,
СевГУ,Южный,Севастополь,Севастополь,Министерство науки и высшего образования Российской Федерации,True,Территориальное/отраслевое лидерство,False,https://www.sevsu.ru/,Нечаев Владимир Дмитриевич,True,False,False,False,False,False,False,True,False,False,False,11.6,648.0,1013.0,24.211,93.252,86.39,13.61,2.22,97.78,66.06,59.21,69.39,16.96,12.88,0.78,72.22,16.67,0.0,11.11,0.62,0.99,8.31,52.19,0.0,11.14,2.62,24.13,9.23,53.05,37.73,0.82,99.18,85.27,0.0,14.73,72.45,8.37,19.17,10.2,49.15,40.65,,,
СВФУ,Дальневосточный,Сахалинская область,Якутск,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.s-vfu.ru,Николаев Анатолий Николаевич,True,True,False,False,False,False,False,False,False,False,True,8.9,2067.0,5932.0,97.516,325.991,83.46,16.54,2.73,97.27,65.63,58.99,58.82,23.5,12.67,5.0,49.33,38.54,5.12,7.01,0.71,1.52,20.46,28.76,14.12,10.1,10.18,14.15,10.5,53.22,36.28,2.21,97.79,84.04,0.86,15.1,84.85,4.23,10.92,9.68,40.92,49.4,,1201,
СКФУ,Северо-Кавказский,Ставропольский край,Ставрополь,Министерство науки и высшего образования Российской Федерации,True,,False,www.ncfu.ru,Беспалов Дмитрий Николаевич,False,False,False,False,False,False,False,True,False,False,True,12.2,1509.0,3484.0,72.075,256.891,63.06,36.94,8.44,91.56,71.29,61.04,63.43,16.51,16.72,3.33,77.96,5.81,0.5,15.73,0.0,0.48,6.97,33.01,2.77,7.75,7.92,41.11,18.35,69.92,11.73,0.12,99.88,65.51,0.21,34.28,58.87,6.14,34.98,8.44,36.89,54.67,,,
ФГАОУ ВО Первый МГМУ им. И.М. Сеченова Минздрава России ,Центральный,Москва,Москва,Министерство здравоохранения Российской Федерации,True,Исследовательское лидерство,False,https://www.sechenov.ru/,Глыбочко Петр Витальевич,False,False,True,False,False,True,False,False,False,False,False,12.6,11203.0,68025.0,484.438,478.245,51.38,48.62,4.35,95.65,91.79,73.29,2.0,84.56,1.6,11.84,0.21,94.28,5.25,0.26,0.0,0.0,0.04,1.18,93.87,0.5,2.02,2.39,22.92,51.79,25.3,5.1,94.9,43.12,0.0,56.88,59.66,4.04,36.29,5.33,53.1,41.57,651,1001,801
СибГУ им. М.Ф. Решетнева,Сибирский,Красноярский край,Красноярск,Министерство науки и высшего образования Российской Федерации,True,,False,www.sibsau.ru,Акбулатов Эдхам Шукриевич,True,False,False,False,False,False,False,False,True,False,False,8.6,1786.0,4426.0,50.174,189.035,79.22,20.78,3.76,96.24,62.68,61.95,71.0,12.66,13.6,2.74,78.33,1.94,1.11,18.61,12.21,0.0,1.13,65.14,0.0,2.64,1.79,17.08,9.07,53.02,37.9,0.22,99.78,82.08,0.49,17.42,81.77,3.32,14.91,6.55,39.14,54.31,,,
СФУ,Сибирский,Красноярский край,Красноярск,Министерство науки и высшего образования Российской Федерации,True,Территориальное/отраслевое лидерство,False,http://www.sfu-kras.ru,РУМЯНЦЕВ МАКСИМ ВАЛЕРЬЕВИЧ,True,True,False,False,False,True,False,False,False,False,True,11.4,5155.0,19013.0,329.682,1086.91,77.14,22.86,3.41,96.59,71.87,64.95,61.11,20.9,15.08,2.91,68.1,16.45,2.29,13.16,0.0,1.59,2.12,54.57,0.0,6.14,9.78,25.8,11.17,50.61,38.22,0.86,99.14,78.11,2.71,19.18,82.04,5.7,12.26,6.09,40.38,53.54,1001,1001,
"СПбГЭТУ ""ЛЭТИ""",Северо-Западный,Санкт-Петербург,Санкт-Петербург,Министерство науки и высшего образования Российской Федерации,True,Территориальное/отраслевое лидерство,False,etu.ru,Шелудько Виктор Николаевич,True,False,True,False,False,True,False,False,False,False,False,17.4,3801.0,8854.0,157.721,336.379,78.12,21.88,19.17,80.83,81.6,72.25,74.06,5.5,18.05,2.39,72.47,5.04,1.93,20.56,0.0,0.0,0.0,85.3,0.0,4.82,3.66,6.23,14.02,54.09,31.89,1.36,98.64,74.51,0.22,25.28,72.32,11.59,16.09,7.54,42.51,49.95,701,1201,
СурГУ,Уральский,Ханты-Мансийский автономный округ — Югра,Сургут,Департамент образования и молодежной политики Ханты-Мансийского автономного округа - Югры,False,,True,http://www.surgu.ru,Косенок Сергей Михайлович,True,False,False,False,False,False,False,False,False,False,False,4.6,518.0,894.0,25.541,159.811,81.46,18.54,0.91,99.09,67.15,55.88,52.39,25.76,12.36,9.49,30.61,42.86,8.16,18.37,0.0,2.22,3.11,25.6,17.95,10.75,10.24,30.13,11.92,57.51,30.57,0.26,99.74,0.0,90.41,9.59,89.25,0.05,10.7,11.75,38.76,49.5,,,
Театральный институт имени Бориса Щукина,Центральный,Москва,Москва,Министерство культуры Российской Федерации,True,,False,http://www.htvs.ru,Князев Евгений Владимирович,False,False,False,False,False,False,False,False,False,False,False,20.2,0.0,0.0,91.239,0,54.47,45.53,92.68,7.32,74.3,71.3,0.0,84.96,12.6,2.44,0.0,62.5,12.5,25.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,23.33,75.0,0.0,100.0,64.22,0.0,35.78,64.22,2.12,33.66,4.76,40.82,54.42,,,
ТГУ,Приволжский,Самарская область,Тольятти,Министерство науки и высшего образования Российской Федерации,True,,False,http://tsu.ru,Галажинский Эдуард Владимирович,False,True,False,False,False,True,False,True,False,True,False,36.6,11221.0,78079.0,755.803,1800.088,75.54,24.46,22.53,77.47,80.19,70.95,64.02,11.81,18.36,5.81,74.96,6.0,4.03,15.01,2.11,2.26,0.62,16.01,0.0,15.05,28.95,35.0,20.48,50.28,29.24,2.51,97.49,83.75,0.08,16.17,85.28,4.93,9.79,27.01,32.97,40.02,272,601,901
ТГАСУ,Сибирский,Томская область,Томск,Министерство науки и высшего образования Российской Федерации,False,,True,http://www.tsuab.ru,Власов Виктор Алексеевич,False,False,False,False,False,False,False,False,False,False,False,6.0,717.0,1202.0,24.166,71.778,81.64,18.36,24.21,75.79,69.78,73.66,69.55,10.49,19.24,0.72,71.93,13.09,0.13,14.84,0.0,0.0,0.0,99.92,0.0,0.0,0.0,0.08,16.18,48.55,35.26,0.29,99.71,63.57,0.0,36.43,73.06,12.38,14.55,6.39,45.11,48.5,,,
ТГУ,Сибирский,Томская область,Томск,Министерство науки и высшего образования Российской Федерации,True,Исследовательское лидерство,False,http://tsu.ru,Галажинский Эдуард Владимирович,False,True,False,False,False,True,False,True,False,True,False,36.6,11221.0,78079.0,755.803,1800.088,75.54,24.46,22.53,77.47,80.19,70.95,64.02,11.81,18.36,5.81,74.96,6.0,4.03,15.01,2.11,2.26,0.62,16.01,0.0,15.05,28.95,35.0,20.48,50.28,29.24,2.51,97.49,83.75,0.08,16.17,85.28,4.93,9.79,27.01,32.97,40.02,272,601,901
ТУСУР,Сибирский,Томская область,Томск,Министерство науки и высшего образования Российской Федерации,True,Территориальное/отраслевое лидерство,False,http://www.tusur.ru,Рулевский Виктор Михайлович,False,False,False,False,False,False,False,True,False,False,False,29.4,1625.0,7592.0,130.802,256.576,73.45,26.55,14.28,85.72,68.66,59.84,69.82,15.17,11.85,3.15,69.15,2.13,3.43,25.3,0.0,0.0,0.0,76.64,0.0,0.0,1.83,21.54,14.98,48.07,36.96,0.48,99.52,58.31,0.0,41.69,58.53,20.03,21.44,43.2,27.6,29.2,,1201,
ТПУ,Сибирский,Томская область,Томск,Министерство науки и высшего образования Российской Федерации,True,Исследовательское лидерство,False,http://tpu.ru,Седнев Дмитрий Андреевич,False,False,False,False,False,True,False,True,False,True,False,31.1,11135.0,60989.0,905.771,1715.606,92.32,7.68,25.0,75.0,79.61,66.33,52.63,10.03,29.03,8.31,55.31,10.09,4.7,29.9,0.0,1.05,0.0,92.24,0.0,0.0,5.82,0.89,15.74,57.34,26.91,1.93,98.07,69.29,0.0,30.71,76.82,14.75,8.43,22.9,35.91,41.19,395,801,
ТГПУ им. Л.Н. Толстого,Центральный,Тульская область,Тула,Министерство просвещения Российской Федерации,False,,True,http://tsput.ru,Панин Владимир Алексеевич,True,False,False,False,False,False,False,False,False,False,False,8.4,199.0,574.0,14.137,80.055,69.12,30.88,3.99,96.01,70.04,62.94,87.38,5.99,6.04,0.6,71.25,19.38,1.25,8.13,4.01,0.0,66.83,2.62,3.68,8.73,10.0,4.13,13.74,66.77,19.49,0.0,100.0,69.84,0.0,30.16,57.22,8.38,34.39,5.63,45.17,49.21,,,
ТулГУ,Центральный,Тульская область,Тула,Министерство науки и высшего образования Российской Федерации,False,,True,https://tsu.tula.ru/,Кравченко Олег Александрович,True,False,False,False,False,False,False,True,True,False,False,4.8,897.0,2055.0,74.408,237.858,66.2,33.8,4.13,95.87,68.28,61.83,55.97,29.06,9.82,5.14,28.15,46.0,17.62,8.24,0.0,1.11,0.16,53.15,11.42,3.11,4.42,26.62,19.23,58.74,22.03,0.0,100.0,67.21,0.24,32.55,59.73,3.81,36.46,5.97,39.9,54.13,,,
ТюмГУ,Уральский,Тюменская область,Тюмень,Министерство науки и высшего образования Российской Федерации,True,Территориальное/отраслевое лидерство,False,www.utmn.ru,Романчук Иван Сергеевич,True,False,True,False,False,True,True,True,False,False,False,15.9,1923.0,7422.0,628.0,512.25,40.52,59.48,10.41,89.59,80.21,63.42,70.28,17.27,10.36,2.08,79.43,8.54,1.3,10.73,0.8,0.35,10.98,11.64,0.0,11.84,19.25,45.15,13.34,52.1,34.56,3.43,96.57,54.93,7.77,37.3,63.03,3.66,33.31,7.46,41.03,51.51,801,1201,
УлГУ,Приволжский,Ульяновская область,Ульяновск,Министерство науки и высшего образования Российской Федерации,True,,False,http://ulsu.ru,Костишко Борис Михайлович,True,False,False,False,False,False,False,False,True,False,False,13.9,807.0,2779.0,78.078,210.275,45.8,54.2,21.99,78.01,63.73,59.98,35.13,54.37,3.04,7.46,5.02,93.46,1.17,0.35,1.06,1.26,0.0,13.24,44.74,4.71,6.67,28.32,19.19,57.01,23.8,0.38,99.62,51.94,1.44,46.62,54.44,10.54,35.02,4.94,39.62,55.44,,,
МГЮА,Центральный,Москва,Москва,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.msal.ru,Блажеев Виктор Владимирович,False,False,False,False,False,False,False,True,False,False,False,6.2,274.0,446.0,5.983,39.02,56.97,43.03,3.17,96.83,94.4,72.22,60.09,25.19,12.01,2.71,91.04,2.99,0.5,5.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,22.07,66.8,11.13,0.39,99.61,50.34,0.23,49.43,49.07,1.69,49.25,2.12,54.29,43.58,,,
ИТМО,Северо-Западный,Санкт-Петербург,Санкт-Петербург,Министерство науки и высшего образования Российской Федерации,True,Исследовательское лидерство,False,http://www.ifmo.ru,Васильев Владимир Николаевич,False,False,False,False,False,True,False,False,False,True,False,36.9,11816.0,74966.0,939.335,1573.57,72.94,27.06,18.17,81.83,93.64,77.6,49.39,0.68,43.54,6.39,52.47,0.04,3.27,44.22,0.0,0.0,1.0,85.6,0.0,2.15,8.32,2.93,14.31,52.57,33.13,7.62,92.38,61.23,0.0,38.77,62.65,29.01,8.34,37.31,20.13,42.57,365,601,NaN
СПбГУПТД,Северо-Западный,Санкт-Петербург,Санкт-Петербург,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.sutd.ru,Демидов Алексей Вячеславович,False,False,False,False,False,False,False,False,False,False,False,10.8,470.0,682.0,12.883,144.36,51.68,48.32,7.92,92.08,82.04,65.67,88.6,2.97,6.97,1.46,85.98,1.27,1.42,11.33,0.0,21.32,1.76,47.55,0.0,0.07,1.04,28.27,15.78,69.04,15.17,0.46,99.54,61.51,0.3,38.18,56.1,10.32,33.58,15.09,51.81,33.1,,,
УГГУ,Уральский,Свердловская область,Екатеринбург,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.ursmu.ru,Душин Алексей Владимирович,True,False,False,False,False,False,False,False,False,False,False,8.2,369.0,348.0,16.647,76.749,72.72,27.28,4.62,95.38,62.57,60.64,42.35,52.57,3.9,1.19,39.57,40.64,2.67,17.11,0.0,0.61,0.0,85.57,0.0,0.23,2.58,11.01,15.76,47.55,36.69,0.26,99.74,62.85,0.0,37.15,57.82,5.47,36.71,11.6,47.78,40.62,,,
УрФУ,Уральский,Свердловская область,Екатеринбург,Министерство науки и высшего образования Российской Федерации,True,Исследовательское лидерство,False,http://www.urfu.ru,Кокшаров Виктор Анатольевич,True,True,False,False,False,True,True,True,False,False,True,23.5,14070.0,55537.0,1144.254,2721.795,62.53,37.47,12.82,87.18,78.62,67.73,70.4,11.34,14.81,3.45,81.57,2.15,2.25,14.03,0.0,1.42,0.14,52.91,1.03,9.1,9.23,26.18,13.89,49.45,36.66,0.38,99.62,60.78,0.12,39.11,66.09,13.1,20.8,21.56,38.05,40.38,351,1001,701
УГНТУ,Приволжский,Республика Башкортостан,Уфа,Министерство науки и высшего образования Российской Федерации,True,Территориальное/отраслевое лидерство,False,http://www.rusoil.net,Баулин Олег Александрович,True,False,True,False,False,False,False,True,True,False,False,11.6,1805.0,4811.0,94.226,329.894,61.14,38.86,6.38,93.62,74.56,58.98,64.82,12.36,20.48,2.34,65.42,11.96,2.59,20.03,0.0,1.37,0.0,79.63,0.0,0.0,0.81,18.18,14.38,60.11,25.51,0.65,99.35,49.7,0.15,50.15,52.2,10.62,37.17,3.66,41.24,55.1,,,
ПНИПУ,Приволжский,Пермский край,Пермь,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.pstu.ru,Ташкинов Анатолий Александрович,True,False,False,False,False,False,False,False,False,True,False,41.3,2206.0,4290.0,210.859,272.296,79.8,20.2,4.66,95.34,68.97,64.91,61.67,17.94,15.23,5.16,90.97,4.05,0.31,4.67,0.0,0.0,0.0,83.69,0.0,3.56,2.69,10.07,15.23,57.49,27.27,0.12,99.88,54.49,3.59,41.92,56.72,31.57,11.7,10.78,34.54,54.69,,1201,
ФГАОУ ВО РНИМУ им. Н.И. Пирогова Минздрава России,Центральный,Москва,Москва,Министерство здравоохранения Российской Федерации,True,Исследовательское лидерство,False,http://rsmu.ru,ЛУКЬЯНОВ СЕРГЕЙ АНАТОЛЬЕВИЧ,False,False,False,True,False,False,False,False,False,True,False,27.1,4928.0,18453.0,106.04,1240.933,76.18,23.82,3.64,96.36,90.45,72.42,1.59,78.95,0.44,19.02,0.0,81.22,18.53,0.25,0.0,0.0,0.0,0.0,94.72,0.0,1.54,3.74,25.72,53.49,20.79,0.53,99.47,66.3,0.0,33.7,66.57,16.7,16.72,6.97,27.0,66.03,,1201,
РУТ (МИИТ),Центральный,Москва,Москва,Министерство транспорта Российской Федерации,True,Территориальное/отраслевое лидерство,False,https://rut-miit.ru,Климов Александр Алексеевич,False,False,False,False,False,False,False,False,False,False,False,11.2,964.0,2099.0,47.91,122.433,49.65,50.35,3.25,96.75,67.23,54.13,46.95,41.21,8.49,3.35,67.68,20.81,1.21,10.3,0.0,0.0,0.0,57.98,0.0,1.16,0.51,40.35,16.86,57.28,25.86,0.18,99.82,48.44,0.0,51.56,51.25,11.18,37.57,10.22,38.71,51.08,,,
КалмГУ,Южный,Республика Калмыкия,Элиста,Министерство науки и высшего образования Российской Федерации,False,,True,http://www.kalmgu.ru,Салаев Бадма Катинович,False,False,False,False,False,False,False,False,True,False,False,2.8,265.0,406.0,9.858,69.787,73.35,26.65,24.05,75.95,67.11,60.52,71.1,9.4,18.54,0.96,85.77,4.39,0.19,9.65,13.36,0.4,13.17,7.93,1.71,16.95,16.63,29.85,13.74,57.69,28.57,0.0,100.0,76.47,0.04,23.48,77.48,2.71,19.82,1.54,46.85,51.61,,,
КГЭУ,Приволжский,Республика Татарстан,Казань,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.kgeu.ru,Абдуллазянов Эдвард Юнусович,False,False,False,False,False,False,False,False,False,False,False,17.4,1331.0,3137.0,50.904,143.523,80.18,19.82,3.73,96.27,72.74,69.04,82.78,0.0,16.11,1.1,76.92,0.0,8.88,14.2,0.59,0.0,0.0,86.63,0.0,0.53,1.66,10.58,15.95,63.54,20.51,0.0,100.0,64.12,0.35,35.52,57.94,13.05,29.0,9.42,56.35,34.24,,,
"ФГБОУ ВО ""КНИТУ""",Приволжский,Республика Татарстан,Казань,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.kstu.ru,Казаков Юрий Михайлович,False,False,False,False,False,False,False,True,False,True,False,24.5,2172.0,6810.0,110.49,370.416,84.55,15.45,17.06,82.94,69.6,60.41,58.43,7.89,30.76,2.91,72.78,0.0,1.16,26.05,2.22,1.18,0.93,86.17,0.05,0.0,1.98,7.47,18.53,65.96,15.51,0.6,99.4,61.94,1.32,36.74,63.36,22.94,13.7,13.2,32.37,54.43,801,1201,
"ФГБОУ ВО ""МГТУ ""СТАНКИН""",Центральный,Москва,Москва,Министерство науки и высшего образования Российской Федерации,True,,False,http://stankin.ru,Серебренный Владимир Валерьевич,True,False,False,False,False,False,False,True,False,False,False,22.0,1054.0,3741.0,126.051,212.279,92.12,7.88,9.81,90.19,72.12,62.91,63.8,5.91,23.29,7.0,47.58,1.85,7.39,43.19,0.0,0.0,0.0,94.59,0.0,0.0,0.0,5.41,17.15,47.09,35.76,4.94,95.06,86.2,0.0,13.8,89.27,7.0,3.73,15.4,47.71,36.89,,,
НИУ МГСУ,Центральный,Москва,Москва,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.mgsu.ru,Акимов Павел Алексеевич,False,False,False,False,False,False,False,False,False,True,False,20.6,4573.0,10710.0,60.058,177.395,72.64,27.36,2.96,97.04,74.19,62.01,69.32,10.71,17.23,2.74,71.71,5.59,0.99,21.71,0.0,0.0,0.0,88.77,0.0,0.0,1.88,9.35,14.27,56.36,29.38,0.28,99.72,66.6,0.28,33.12,65.47,15.97,18.55,17.36,33.96,48.68,,601,
НГТУ,Приволжский,Нижегородская область,Нижний Новгород,Министерство науки и высшего образования Российской Федерации,True,Территориальное/отраслевое лидерство,False,www.nntu.ru,Дмитриев Сергей Михайлович,True,False,False,False,False,False,False,False,True,False,False,28.5,1461.0,4357.0,139.732,297.481,89.21,10.79,3.75,96.25,69.28,61.38,64.36,14.71,17.52,3.41,82.88,0.0,1.8,15.32,0.0,0.0,0.0,94.43,0.0,0.38,3.8,1.39,17.17,56.66,26.16,0.0,100.0,64.76,0.37,34.88,66.33,19.83,13.84,10.24,41.15,48.61,801,1201,
"ФГБОУ ВО ""ПИМУ"" Минздрава России",Приволжский,Нижегородская область,Нижний Новгород,Министерство здравоохранения Российской Федерации,True,Территориальное/отраслевое лидерство,False,https://pimunn.ru/,Карякин Николай Николаевич,True,False,False,False,False,False,False,False,False,False,False,15.8,1067.0,4248.0,35.062,292.325,47.02,52.98,23.13,76.87,86.33,63.44,0.12,84.32,0.05,15.51,0.0,94.26,5.74,0.0,0.0,0.0,0.0,0.0,99.86,0.0,0.06,0.08,20.18,56.14,23.68,0.0,100.0,47.92,0.0,52.08,44.35,7.84,47.81,2.45,55.77,41.78,,1201,
"""Чеченский государственный университет имени А.А. Кадырова""",Северо-Кавказский,Чеченская Республика,Грозный,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.chesu.ru,Саидов Заурбек Асланбекович,False,False,False,False,False,False,True,True,False,False,False,5.4,395.0,462.0,5.246,29.991,89.78,10.22,2.06,97.94,61.52,58.58,64.51,31.62,3.09,0.78,24.43,72.73,0.0,2.84,6.35,1.7,2.69,3.25,26.53,8.96,18.31,32.21,12.15,43.02,44.83,0.49,99.51,81.01,0.0,18.99,81.3,4.68,14.01,4.53,64.17,31.3,,,
ФГБОУ ВО «ЗабГУ»,Дальневосточный,Забайкальский край,Чита,Министерство науки и высшего образования Российской Федерации,False,,True,http://www.zabgu.ru,Иванов Сергей Анатольевич,False,False,False,False,False,False,False,False,False,False,False,2.0,233.0,367.0,6.792,53.701,79.0,21.0,2.33,97.67,62.76,57.61,71.77,15.68,11.51,1.03,59.84,0.0,8.2,31.97,0.0,0.71,29.26,31.5,0.0,4.74,3.23,30.57,13.27,60.37,26.36,0.17,99.83,76.65,0.0,23.35,74.61,1.47,23.91,4.53,50.21,45.26,,,
ИРНИТУ,Сибирский,Иркутская область,Иркутск,Министерство науки и высшего образования Российской Федерации,True,Территориальное/отраслевое лидерство,False,http://www.istu.edu,Корняков Михаил Викторович,True,False,False,False,False,False,False,True,False,True,False,9.5,1878.0,4217.0,65.313,194.612,77.09,22.91,9.28,90.72,67.39,58.56,62.4,17.18,18.12,2.3,73.94,12.1,1.85,12.1,0.0,1.45,0.0,86.94,0.0,0.0,0.13,11.48,10.87,64.85,24.27,1.64,98.36,72.45,0.0,27.55,68.54,6.08,25.38,7.4,36.81,55.79,,,
